sections,text,sub_section
Politics and wars,"Wars
World War I (1914–1918)
Assassination of Archduke Franz Ferdinand of Austria-Hungary in Sarajevo leads to the outbreak of the First World War
Germany signs the Treaty of Versailles after losing the first world war.
Armenian Genocide during and just after World War I. It was characterised by the use of massacres and deportations involving forced marches under conditions designed to lead to the death of the deportees, with the total number of Armenian deaths generally held to have been between one and one-and-a-half million.
Wadai War (1909–1911)
Italo-Turkish War (1911–1912)
First Balkan Wars (1912–1913) – two wars that took place in South-eastern Europe in 1912 and 1913.
Saudi-Ottoman War (1913)
Latvian War of Independence (1918-1920) – a military conflict in Latvia between the Republic of Latvia and the Russian SFSR.

",Wars
Politics and wars,"Internal conflicts
October Revolution in Russia results in the overthrow of capitalism and the establishment of the world's first self-proclaimed socialist state; political upheaval in Russia culminating in the establishment of the Russian SFSR and the assassination of Emperor Nicholas II and the royal family.
The Russian Revolution (1917) is the collective term for the series of revolutions in Russia in 1917, which destroyed the Tsarist autocracy and led to the creation of the Soviet Union.
April 13, 1919 – The Jallianwala Bagh massacre, at Amritsar in the Punjab Province of British India, sows the seeds of discontent and leads to the birth of the Indian Independence Movement.
Xinhai Revolution causes the overthrow of China's ruling Qing Dynasty, and the establishment of the Republic of China (1912-1949).
Mexican Revolution (1910–1920) Francisco I. Madero proclaims the elections of 1910 null and void, and calls for an armed revolution at 6 p.m. against the illegitimate presidency/dictatorship of Porfirio Díaz. The revolution lead to the ousting of Porfirio Díaz (who ruled from 1876 to 1880 and since 1884) six months later. The Revolution progressively becomes a civil war with multiple factions and phases, culminating with the Mexican Constitution of 1917, but combat would persist for three more years.

",Internal conflicts
Politics and wars,"Major political changes
Portugal becomes the first republican country in the century after the 5 October 1910 revolution, ending its long-standing monarchy and creating the First Portuguese Republic in 1911.
Germany abolishes its monarchy and becomes under the rule of a new elected government called the Weimar Republic.
Seventeenth Amendment to the United States Constitution is passed, causing US Senators to be directly elected rather than appointed by the state legislatures.
Federal Reserve Act is passed by United States Congress, establishing a Central Bank in the US.
George V becomes king in Britain.
Dissolution of the German colonial empire, Ottoman Empire, Austria-Hungary and the Russian Empire, reorganization of European states, territorial boundaries, and the creation of several new European states and territorial entities: Austria, Czechoslovakia, Estonia, Finland, Free City of Danzig, Hungary, Latvia, Lithuania, Poland, Saar, Ukraine, and Yugoslavia.
Fourteen Points as designed by United States President Woodrow Wilson advocates the right of all nations to self-determination.
Rise to power of the Bolsheviks in Russia under Vladimir Lenin, creating the Russian Soviet Federated Socialist Republic, the first state committed to the establishment of communism.

",Major political changes
Politics and wars,"Decolonization and independence
Easter Rising against the British in Ireland; eventually leads to Irish independence.
Several nations in Eastern Europe get their own nation state, thereby replacing major multiethnic empires.
The Republic of China is established on January 1, 1912.

",Decolonization and independence
Politics and wars,"Prominent political events
",Prominent political events
Assassinations and attempts,"Assassinations and attempts
Prominent assassinations, targeted killings, and assassination attempts include:

March 18, 1913: George I of Greece
June 11, 1913: Mahmud Şevket Pasha, Grand Vizier of the Ottoman Empire
June 28, 1914 — Archduke Franz Ferdinand of Austria-Hungary is assassinated in Sarajevo, Bosnia and Herzegovina; prompting the events that led up to the start of World War I.
July 17, 1918: Shooting of former Russian Emperor Nicholas II, his consort, their five children, and four retainers at the Ipatiev House in Yekaterinburg, Russian Soviet Federative Socialist Republic following the October Revolution of 1917, and the usurpation of power by the Bolsheviks.
April 10, 1919: Emiliano Zapata

",Assassinations and attempts
Disasters,"Disasters
The RMS Titanic, a British ocean liner which was the largest and most luxurious ship at that time, struck an iceberg and sank 2 hours and forty minutes later in the North Atlantic during its maiden voyage on April 15, 1912. 1,517 people perished in the disaster.
On November 21, 1916 HMHS Britannic was holed in an explosion while passing through a channel which had been seeded with enemy mines and sank in 55 minutes.
On May 7, 1915, the British ocean liner RMS Lusitania was torpedoed by U-20, a German U-boat, off the Old Head of Kinsale in Ireland and sunk in 18 minutes. 1,198 lives were lost, including 128 Americans. The sinking proved to be a factor in the American decision to enter World War I two years later.
From 1918 through 1920, the Spanish flu killed from 50 to 100 million people worldwide.
In 1916, the Netherlands was hit by a North Sea storm that flooded the lowlands and killed 19 people.
From July 1 to July 12, 1916, a series of shark attacks, known as the Jersey Shore shark attacks of 1916 occurred along the Jersey Shore killing four and injuring one.
On January 11, 1914, Sakurajima erupted which resulted in the death of 35 people. In addition to that, the surrounding islands were consumed. Also an isthmus was created between Sakurajima and the main land.
In 1917, the Halifax explosion killed 2,000 people.

",Disasters
Other significant international events,"Other significant international events
The Panama Canal is completed in 1914.
World War I from 1914 until 1918 dominates the Western world.
Hiram Bingham rediscovers Machu Picchu on July 24, 1911.

",Other significant international events
Science and technology,"Technology
Gideon Sundback patented the first modern zipper.
Harry Brearley invented stainless steel.
Charles Strite invented the first pop-up bread toaster.
The Model T Ford dominated the automobile market, selling more than all other makers combined in 1914.
The army tank was invented. Tanks in World War I were used by the British Army, the French Army and the German Army.
1912 - Articulated trams, invented and first used by the Boston Elevated Railway.

",Technology
Science and technology,"Science
In 1916, Albert Einstein's theory of general relativity.
Max von Laue discovers the diffraction of x-rays by crystals.
In 1912, Alfred Wegener puts forward his theory of continental drift.

",Science
Economics,"Economics
In the years 1910 and 1911, there was a minor economic depression known as the Panic of 1910–11, which was followed by the enforcement of the Sherman Anti-Trust Act.

",Economics
Popular culture,"Sports
1912 Summer Olympics were held in Stockholm, Sweden.
1916 Summer Olympics were cancelled because of World War I.

",Sports
Popular culture,"Literature and arts
",Literature and arts
Popular culture,"Visual Arts
The 1913 Armory Show in New York City was a seminal event in the history of Modern Art. Innovative contemporaneous artists from Europe and the United States exhibited together in a massive group exhibition in New York City, and Chicago.

Art movements
Imagism

Cubism and related movements
Proto-Cubism
Crystal Cubism
Orphism
Section d'Or
Synchromism
Futurism

Expressionism and related movements
Symbolism
Blaue Reiter
Die Brücke

Geometric abstraction and related movements
Suprematism
De Stijl
Constructivism

Other movements and techniques
Surrealism
Dada
Collage

",Visual Arts
Popular culture,"Art movements
Imagism

Cubism and related movements
Proto-Cubism
Crystal Cubism
Orphism
Section d'Or
Synchromism
Futurism

Expressionism and related movements
Symbolism
Blaue Reiter
Die Brücke

Geometric abstraction and related movements
Suprematism
De Stijl
Constructivism

Other movements and techniques
Surrealism
Dada
Collage

",Art movements
Popular culture,"Cubism and related movements
Proto-Cubism
Crystal Cubism
Orphism
Section d'Or
Synchromism
Futurism

",Cubism and related movements
Popular culture,"Expressionism and related movements
Symbolism
Blaue Reiter
Die Brücke

",Expressionism and related movements
Popular culture,"Geometric abstraction and related movements
Suprematism
De Stijl
Constructivism

",Geometric abstraction and related movements
Popular culture,"Other movements and techniques
Surrealism
Dada
Collage

",Other movements and techniques
Popular culture,"Influential artists
Pablo Picasso
Georges Braque
Henri Matisse
Jean Metzinger
Marcel Duchamp
Wassily Kandinsky
Albert Gleizes
Kasimir Malevich
Giorgio de Chirico

",Influential artists
People,"World leaders
1910 – 1911 – 1912 – 1913 – 1914 – 1915 – 1916 – 1917 – 1918 – 1919

",World leaders
People,"Politics
John Barrett, Director-general Organization of American States
Georges Louis Beer, Chairman Permanent Mandates Commission
Henry P. Davison, Chairman International Federation of Red Cross and Red Crescent Societies
Sir James Eric Drummond, Secretary-general League of Nations
Emil Frey, Director International Telecommunication Union
Christian Louis Lange, Secretary-general Inter-Parliamentary Union
Baron Louis Paul Marie Hubert Michiels van Verduynen, Secretary-general Permanent Court of Arbitration
William E. Rappard, Secretary-general International Federation of Red Cross and Red Crescent Societies
Manfred von Richthofen, alias the ""Red Baron"", fighter pilot
Eugène Ruffy, Director Universal Postal Union
William Napier Shaw, President World Meteorological Organization
Albert Thomas, Director International Labour Organization
Grigory Yevseyevich Zinoviev, Chairman of the Executive Committee Communist International

",Politics
People,"Business
Arnold Rothstein, gangster, gambler, fixed the 1919 World Series
Henry Ford, industrialist, founder of the Ford Motor Company

",Business
People,"Inventors
Nikola Tesla, electrical and mechanical engineer

",Inventors
People,"Authors
Edgar Rice Burroughs
James Joyce

",Authors
People,"Entertainers
",Entertainers
People,"Sports figures
Baseball
Babe Ruth, (American baseball player)
Honus Wagner, (American baseball player)
Christy Mathewson, (American baseball player)
Walter Johnson, (American baseball player)
Ty Cobb, (American baseball player)
Tris Speaker, (American baseball player)
Nap Lajoie, (American baseball player)
Eddie Collins, (American baseball player)
Mordecai Brown, (American baseball player)

Olympics
Jim Thorpe

Boxing
Jack Dempsey
Jess Willard

",Sports figures
